id,subject,date,task,description,status,feedback
en-20260201-t01,英语,2026-02-01,阅读*1,完成时政文章阅读,完成,
en-20260201-t02,英语,2026-02-01,单词*100,背默单词100个,未完成,
en-20260201-t03,英语,2026-02-01,翻译*15句,中翻英15句,完成,
en-20260201-t04,英语,2026-02-01,词组*1页,完成词组翻译1页,未完成,未打印
en-20260202-t01,英语,2026-02-02,阅读*1,完成时政文章阅读,完成,
en-20260202-t02,英语,2026-02-02,单词*100,背默单词100个,完成,
en-20260202-t03,英语,2026-02-02,翻译*15句,中翻英15句,完成,
en-20260202-t04,英语,2026-02-02,词组*1页,完成词组翻译1页,完成,
en-20260203-t05,英语,2026-02-03,试卷*1,完成试卷*1,完成,高三英语摸底试卷
en-20260203-t02,英语,2026-02-03,单词*100,背默单词100个,完成,
en-20260203-t03,英语,2026-02-03,翻译*15句,中翻英15句,完成,
en-20260203-t04,英语,2026-02-03,词组*1页,完成词组翻译1页,完成,
en-20260204-t01,英语,2026-02-04,阅读*1,完成时政文章阅读,完成,
en-20260204-t02,英语,2026-02-04,单词*100,背默单词100个,完成,
en-20260204-t03,英语,2026-02-04,翻译*15句,中翻英15句,完成,
en-20260204-t04,英语,2026-02-04,词组*1页,完成词组翻译1页,完成,
en-20260205-t01,英语,2026-02-05,阅读*1,完成时政文章阅读,完成,
en-20260205-t02,英语,2026-02-05,单词*100,背默单词100个,完成,
en-20260205-t03,英语,2026-02-05,翻译*15句,中翻英15句,完成,
en-20260205-t04,英语,2026-02-05,词组*1页,完成词组翻译1页,完成,
en-20260206-t05,英语,2026-02-06,试卷*1,完成试卷*1,计划,
en-20260206-t02,英语,2026-02-06,单词*100,背默单词100个,计划,
en-20260206-t03,英语,2026-02-06,翻译*15句,中翻英15句,计划,
en-20260206-t04,英语,2026-02-06,词组*1页,完成词组翻译1页,计划,
en-20260207-t01,英语,2026-02-07,阅读*1,完成时政文章阅读,计划,
en-20260207-t02,英语,2026-02-07,单词*100,背默单词100个,计划,
en-20260207-t03,英语,2026-02-07,翻译*15句,中翻英15句,计划,
en-20260207-t04,英语,2026-02-07,词组*1页,完成词组翻译1页,计划,
en-20260208-t01,英语,2026-02-08,阅读*1,完成时政文章阅读,计划,
en-20260208-t02,英语,2026-02-08,单词*100,背默单词100个,计划,
en-20260208-t03,英语,2026-02-08,翻译*15句,中翻英15句,计划,
en-20260208-t04,英语,2026-02-08,词组*1页,完成词组翻译1页,计划,
en-20260209-t01,英语,2026-02-09,阅读*1,完成时政文章阅读,计划,
en-20260209-t02,英语,2026-02-09,单词*100,背默单词100个,计划,
en-20260209-t03,英语,2026-02-09,翻译*15句,中翻英15句,计划,
en-20260209-t04,英语,2026-02-09,词组*1页,完成词组翻译1页,计划,
en-20260210-t05,英语,2026-02-10,试卷*1,完成试卷*1,计划,
en-20260210-t02,英语,2026-02-10,单词*100,背默单词100个,计划,
en-20260210-t03,英语,2026-02-10,翻译*15句,中翻英15句,计划,
en-20260210-t04,英语,2026-02-10,词组*1页,完成词组翻译1页,计划,
en-20260211-t01,英语,2026-02-11,阅读*1,完成时政文章阅读,计划,
en-20260211-t02,英语,2026-02-11,单词*100,背默单词100个,计划,
en-20260211-t03,英语,2026-02-11,翻译*15句,中翻英15句,计划,
en-20260211-t04,英语,2026-02-11,词组*1页,完成词组翻译1页,计划,
en-20260212-t01,英语,2026-02-12,阅读*1,完成时政文章阅读,计划,
en-20260212-t02,英语,2026-02-12,单词*100,背默单词100个,计划,
en-20260212-t03,英语,2026-02-12,翻译*15句,中翻英15句,计划,
en-20260212-t04,英语,2026-02-12,词组*1页,完成词组翻译1页,计划,
en-20260213-t05,英语,2026-02-13,试卷*1,完成试卷*1,计划,
en-20260213-t02,英语,2026-02-13,单词*100,背默单词100个,计划,
en-20260213-t03,英语,2026-02-13,翻译*15句,中翻英15句,计划,
en-20260213-t04,英语,2026-02-13,词组*1页,完成词组翻译1页,计划,
en-20260214-t01,英语,2026-02-14,阅读*1,完成时政文章阅读,计划,
en-20260214-t02,英语,2026-02-14,单词*100,背默单词100个,计划,
en-20260214-t03,英语,2026-02-14,翻译*15句,中翻英15句,计划,
en-20260214-t04,英语,2026-02-14,词组*1页,完成词组翻译1页,计划,
en-20260215-t01,英语,2026-02-15,阅读*1,完成时政文章阅读,计划,
en-20260215-t02,英语,2026-02-15,单词*100,背默单词100个,计划,
en-20260215-t03,英语,2026-02-15,翻译*15句,中翻英15句,计划,
